timeframe,symbol,action_all_sessions_24h_336h,action_london_or_newyork_24h_336h,change_type,delta_rank,all_336h_win_rate,london_ny_336h_win_rate,all_336h_mean_return_pct,london_ny_336h_mean_return_pct
m15,BRENTCMDUSD,KEEP,CUT,DOWNGRADE,-2,0.5641891891891891,0.4823529411764706,0.2291449480995233,-0.7272491257185142
m15,EURJPY,KEEP,CUT,DOWNGRADE,-2,0.6081081081081081,0.4807692307692308,0.2058059038098645,-0.0016000941813719
m15,GBPJPY,KEEP,KEEP,UNCHANGED,0,0.5655172413793104,0.5344827586206896,0.0475232440351941,-0.1056760720263011
m15,LIGHTCMDUSD,WATCH,WATCH,UNCHANGED,0,0.504950495049505,0.5119047619047619,-0.251961959997719,-0.0484283208136595
m15,USDJPY,KEEP,KEEP,UNCHANGED,0,0.6301369863013698,0.5686274509803921,0.3625697798216102,0.2788273792998714
m15,XAUUSD,KEEP,KEEP,UNCHANGED,0,0.589041095890411,0.5490196078431373,0.7689940844072898,0.6231755528798387
m15,XAGUSD,WATCH,KEEP,UPGRADE,1,0.5168539325842697,0.5633802816901409,0.8010767933439568,1.121917320942105
m30,BRENTCMDUSD,KEEP,WATCH,DOWNGRADE,-1,0.515527950310559,0.46875,-0.037214986428275,-0.675923044437119
m30,LIGHTCMDUSD,KEEP,WATCH,DOWNGRADE,-1,0.4840764331210191,0.4871794871794871,-0.0225285605723158,-0.2415242740364954
m30,USDJPY,WATCH,CUT,DOWNGRADE,-1,0.5327868852459017,0.3703703703703703,-0.1234144042404044,-0.6567100066606234
m30,EURJPY,KEEP,KEEP,UNCHANGED,0,0.6372549019607843,0.64,0.3720165578251386,0.3342225467684493
m30,GBPJPY,WATCH,WATCH,UNCHANGED,0,0.5858585858585859,0.5714285714285714,-0.0403236544534258,-0.1757378929750115
m30,XAGUSD,KEEP,KEEP,UNCHANGED,0,0.5826771653543307,0.6739130434782609,1.2247962200641245,2.061184268840518
m30,XAUUSD,KEEP,KEEP,UNCHANGED,0,0.553030303030303,0.5365853658536586,0.7843022819093255,0.7186270658139957
