timeframe,analysis_session_scope,symbol,truth_label_block,n_24h,win_rate_24h,mean_return_24h_pct,median_return_24h_pct,n_168h,win_rate_168h,mean_return_168h_pct,median_return_168h_pct,n_336h,win_rate_336h,mean_return_336h_pct,median_return_336h_pct,session_action_24h_336h
m15,london_or_newyork,BRENTCMDUSD,UNVERIFIED_PYTHON_APPROXIMATION,86,0.4651162790697674,-0.0886001114341959,-0.136481847655147,86,0.5116279069767442,-0.0344437328628596,0.1803844316399707,85,0.4823529411764706,-0.7272491257185142,-0.8263154562147792,CUT
m15,london_or_newyork,EURJPY,UNVERIFIED_PYTHON_APPROXIMATION,54,0.4259259259259259,-0.0905970776074133,-0.1016991880040892,52,0.4807692307692308,-0.2547308512726179,-0.108595666537143,52,0.4807692307692308,-0.0016000941813719,-0.0550450834358096,CUT
m15,london_or_newyork,GBPJPY,UNVERIFIED_PYTHON_APPROXIMATION,58,0.5344827586206896,0.0453071182012952,0.0315191389220274,58,0.5517241379310345,-0.3078289445158435,0.0832725966073893,58,0.5344827586206896,-0.1056760720263011,0.0998729473927506,KEEP
m15,london_or_newyork,LIGHTCMDUSD,UNVERIFIED_PYTHON_APPROXIMATION,84,0.4047619047619047,-0.3643606066582857,-0.3292234318559046,84,0.5833333333333334,0.0243557791273257,0.8132510146882871,84,0.5119047619047619,-0.0484283208136595,0.1670855853746639,WATCH
m15,london_or_newyork,USDJPY,UNVERIFIED_PYTHON_APPROXIMATION,52,0.4423076923076923,-0.0666204559369229,-0.0805622900587843,52,0.5769230769230769,0.1728145574234516,0.3258675388130793,51,0.5686274509803921,0.2788273792998714,0.566712804575503,KEEP
m15,london_or_newyork,XAGUSD,UNVERIFIED_PYTHON_APPROXIMATION,71,0.5211267605633803,-0.0235611964647246,0.0720390320573642,71,0.5211267605633803,0.136316024792933,0.1114782816419106,71,0.5633802816901409,1.121917320942105,0.9720368278741912,KEEP
m15,london_or_newyork,XAUUSD,UNVERIFIED_PYTHON_APPROXIMATION,51,0.5686274509803921,0.041116997951827,0.0601624385841857,51,0.5294117647058824,0.1089768159832514,0.2464677448201335,51,0.5490196078431373,0.6231755528798387,0.2737117437954146,KEEP
m30,london_or_newyork,BRENTCMDUSD,UNVERIFIED_PYTHON_APPROXIMATION,64,0.515625,-0.1606507306502702,0.0485517291897836,64,0.53125,0.1181440297026703,0.3208246473136599,64,0.46875,-0.675923044437119,-0.4078490978760674,WATCH
m30,london_or_newyork,EURJPY,UNVERIFIED_PYTHON_APPROXIMATION,25,0.48,-0.012052063312657,-0.1116247604014023,25,0.56,0.2488401642450719,0.3681526775702063,25,0.64,0.3342225467684493,0.6460705829293127,KEEP
m30,london_or_newyork,GBPJPY,UNVERIFIED_PYTHON_APPROXIMATION,35,0.4,-0.128665949651924,-0.1407225463105099,35,0.5142857142857142,-0.2128559660885728,0.0055017302941725,35,0.5714285714285714,-0.1757378929750115,0.1381700030764416,WATCH
m30,london_or_newyork,LIGHTCMDUSD,UNVERIFIED_PYTHON_APPROXIMATION,78,0.5512820512820513,-0.0801779738921013,0.2077444689389768,78,0.5641025641025641,0.6294872431296827,0.9866108556759552,78,0.4871794871794871,-0.2415242740364954,-0.0978539343649867,WATCH
m30,london_or_newyork,USDJPY,UNVERIFIED_PYTHON_APPROXIMATION,28,0.3571428571428571,-0.1259944281305121,-0.1558766994840755,28,0.5,-0.1429151566094324,0.0177611278578823,27,0.3703703703703703,-0.6567100066606234,-0.4075919140351753,CUT
m30,london_or_newyork,XAGUSD,UNVERIFIED_PYTHON_APPROXIMATION,46,0.5652173913043478,0.3763067988726397,0.2297252236723821,46,0.6086956521739131,0.9940116647929342,0.9938614439957404,46,0.6739130434782609,2.061184268840518,1.4405659406027416,KEEP
m30,london_or_newyork,XAUUSD,UNVERIFIED_PYTHON_APPROXIMATION,41,0.6097560975609756,0.2776821285384853,0.3158394114728975,41,0.5609756097560976,0.6129010529688022,0.3156667349095736,41,0.5365853658536586,0.7186270658139957,0.3816206085569648,KEEP
