symbol,session_scope,n_24h,n_168h,win_rate_24h,win_rate_168h,mean_return_24h,mean_return_168h,median_return_24h,median_return_168h,action,rationale,truth_label_block
BRENTCMDUSD,all_sessions,297,297,0.45454545454545453,0.5252525252525253,-0.25599499673163845,0.04569589198633115,-0.15109050436546861,0.28822596915982956,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
BRENTCMDUSD,london_only,49,49,0.46938775510204084,0.5306122448979592,0.13674313987768227,0.2225184075659778,-0.12008806458067929,0.891372823519117,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
BRENTCMDUSD,london_or_newyork,86,86,0.46511627906976744,0.5116279069767442,-0.08860011143419592,-0.034443732862859684,-0.136481847655147,0.18038443163997075,WATCH,mixed or borderline directional profile,UNVERIFIED_PYTHON_APPROXIMATION
EURJPY,all_sessions,152,149,0.4276315789473684,0.5570469798657718,-0.08990648713246566,0.03550981151034688,-0.0813877263064901,0.19644315119371236,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
EURJPY,london_only,26,24,0.38461538461538464,0.4583333333333333,-0.090653969052227,-0.13490703955927655,-0.16073278793401719,-0.10859566653714309,CUT,sub-50% directional profile and weak forward returns,UNVERIFIED_PYTHON_APPROXIMATION
EURJPY,london_or_newyork,54,52,0.42592592592592593,0.4807692307692308,-0.0905970776074133,-0.25473085127261796,-0.10169918800408925,-0.10859566653714309,CUT,sub-50% directional profile and weak forward returns,UNVERIFIED_PYTHON_APPROXIMATION
GBPJPY,all_sessions,145,145,0.5379310344827586,0.5448275862068965,-0.014465555172724055,-0.07458724184185567,0.035891859937301165,0.09225140604771712,WATCH,mixed or borderline directional profile,UNVERIFIED_PYTHON_APPROXIMATION
GBPJPY,london_only,29,29,0.4482758620689655,0.4827586206896552,-0.001861227422794751,-0.44567902583316027,-0.08839981100730396,-0.005996138486809037,CUT,sub-50% directional profile and weak forward returns,UNVERIFIED_PYTHON_APPROXIMATION
GBPJPY,london_or_newyork,58,58,0.5344827586206896,0.5517241379310345,0.04530711820129526,-0.30782894451584353,0.03151913892202745,0.08327259660738931,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
LIGHTCMDUSD,all_sessions,202,202,0.47029702970297027,0.5247524752475248,-0.1691199119505358,-0.1350475810045331,-0.10423430494608701,0.24699196835713189,WATCH,mixed or borderline directional profile,UNVERIFIED_PYTHON_APPROXIMATION
LIGHTCMDUSD,london_only,57,57,0.42105263157894735,0.631578947368421,-0.2744257695068407,0.8954718378107049,-0.34008225245175344,1.1113830544677759,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
LIGHTCMDUSD,london_or_newyork,84,84,0.40476190476190477,0.5833333333333334,-0.36436060665828574,0.024355779127325783,-0.32922343185590464,0.8132510146882871,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
USDJPY,all_sessions,148,147,0.44594594594594594,0.6394557823129252,-0.09185094838852277,0.2126308805912301,-0.07077140186492248,0.3764316587361756,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
USDJPY,london_only,24,24,0.5833333333333334,0.625,0.06213178046219848,0.28368031195247917,0.07831908796570067,0.3896511794646978,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
USDJPY,london_or_newyork,52,52,0.4423076923076923,0.5769230769230769,-0.06662045593692295,0.17281455742345161,-0.08056229005878435,0.3258675388130793,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
XAGUSD,all_sessions,178,178,0.5168539325842697,0.5730337078651685,-0.035689341913262826,0.45702822032841744,0.07270171868706177,0.8257501113077019,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
XAGUSD,london_only,54,54,0.5185185185185185,0.5,-0.16926626198050357,-0.0025048726983003615,0.055499192233176176,-0.013131382595022716,WATCH,mixed or borderline directional profile,UNVERIFIED_PYTHON_APPROXIMATION
XAGUSD,london_or_newyork,71,71,0.5211267605633803,0.5211267605633803,-0.023561196464724626,0.13631602479293306,0.07203903205736424,0.11147828164191063,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
XAUUSD,all_sessions,147,146,0.5850340136054422,0.589041095890411,0.13418828998283566,0.39008964424439624,0.11639197800623138,0.39393663172075355,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
XAUUSD,london_only,29,29,0.4482758620689655,0.5172413793103449,-0.22538509196884585,-0.06567929158261053,-0.15104650735568534,0.17411376609842272,WATCH,mixed or borderline directional profile,UNVERIFIED_PYTHON_APPROXIMATION
XAUUSD,london_or_newyork,51,51,0.5686274509803921,0.5294117647058824,0.04111699795182705,0.10897681598325142,0.0601624385841857,0.24646774482013356,KEEP,win-rate >52% with positive forward returns,UNVERIFIED_PYTHON_APPROXIMATION
